n_estimators,max_depth,learning_rate,tree_method,gpu_id,random_state,IG__nada___MLU_Words,IG__nada___Riqueza_lexica,IG__nada___1er_TotPron,IG__nada___2da_TotPron,IG__nada___3era_TotPron,IG__nada___%_Pauses,IG__nada___%_Fillers,IG__nada___%_Reformulaciones,IG__nada___%_monoWWR,IG__nada___Rango_pitch,IG__nada___Rango_Jitter,IG__nada___Rango Shimmer,IG__nada___talking_intervals_speechrate
800,1,0.3,auto,,42,0,1,1,0,0,1,0,1,1,1,1,0,1
800,1,0.3,auto,,42,0,0,0,1,1,0,1,1,1,1,1,0,1
800,1,0.3,auto,,42,1,0,0,1,1,0,1,1,1,1,0,1,1
800,1,0.3,auto,,42,1,1,0,1,1,1,0,0,1,1,1,0,1
800,1,0.3,auto,,42,1,0,0,1,0,1,0,0,1,1,1,1,0
800,1,0.3,auto,,42,0,1,1,1,1,1,1,0,1,0,1,0,0
800,1,0.3,auto,,42,1,1,1,1,1,1,1,1,1,1,1,1,1
800,1,0.3,auto,,42,1,0,1,1,1,0,1,0,0,1,1,0,1
800,1,0.3,auto,,42,1,1,1,0,0,0,0,1,1,1,0,1,1
800,1,0.3,auto,,42,0,1,1,1,0,1,0,0,1,0,1,0,0
800,1,0.3,auto,,42,1,1,0,0,0,1,0,1,1,1,0,1,1
800,1,0.3,auto,,42,1,1,0,1,1,0,0,0,0,1,1,1,0
800,1,0.3,auto,,42,1,1,1,0,1,1,0,0,1,1,1,1,0
800,1,0.3,auto,,42,0,1,0,0,1,1,1,0,1,0,1,1,1
800,1,0.3,auto,,42,1,1,0,0,1,0,0,0,1,1,1,1,1
800,1,0.3,auto,,42,1,1,0,0,0,1,1,1,1,0,0,1,1
200,1,0.3,auto,,42,1,0,0,0,0,0,1,1,1,1,1,1,1
200,1,0.3,auto,,42,1,1,1,1,1,1,1,0,0,0,0,1,1
200,1,0.3,auto,,42,1,0,1,1,1,1,0,1,0,1,0,1,1
200,1,0.3,auto,,42,1,1,0,0,1,0,1,1,0,1,0,0,1
200,1,0.3,auto,,42,0,1,1,0,0,1,1,1,1,0,1,1,0
200,1,0.3,auto,,42,0,1,1,0,0,1,0,1,1,1,1,0,1
200,1,0.3,auto,,42,0,0,0,1,1,0,1,1,1,1,1,0,1
200,1,0.3,auto,,42,1,0,0,1,1,0,1,1,1,1,0,1,1
200,1,0.3,auto,,42,1,1,0,1,1,1,0,0,1,1,1,0,1
200,1,0.3,auto,,42,1,0,0,1,0,1,0,0,1,1,1,1,0
200,1,0.3,auto,,42,0,1,1,1,1,1,1,0,1,0,1,0,0
200,1,0.3,auto,,42,1,1,1,1,1,1,1,1,1,1,1,1,1
200,1,0.3,auto,,42,1,0,1,1,1,0,1,0,0,1,1,0,1
200,1,0.3,auto,,42,1,1,1,0,0,0,0,1,1,1,0,1,1
200,1,0.3,auto,,42,0,1,1,1,0,1,0,0,1,0,1,0,0
200,1,0.3,auto,,42,1,1,0,0,0,1,0,1,1,1,0,1,1
200,1,0.3,auto,,42,1,1,0,1,1,0,0,0,0,1,1,1,0
200,1,0.3,auto,,42,1,1,1,0,1,1,0,0,1,1,1,1,0
200,1,0.3,auto,,42,0,1,0,0,1,1,1,0,1,0,1,1,1
200,1,0.3,auto,,42,1,1,0,0,1,0,0,0,1,1,1,1,1
200,1,0.3,auto,,42,1,1,0,0,0,1,1,1,1,0,0,1,1
80,1,0.1,auto,,42,1,0,0,0,0,0,1,1,1,1,1,1,1
80,1,0.1,auto,,42,1,1,1,1,1,1,1,0,0,0,0,1,1
80,1,0.1,auto,,42,1,0,1,1,1,1,0,1,0,1,0,1,1
80,1,0.1,auto,,42,1,1,0,0,1,0,1,1,0,1,0,0,1
80,1,0.1,auto,,42,0,1,1,0,0,1,1,1,1,0,1,1,0
80,1,0.1,auto,,42,0,1,1,0,0,1,0,1,1,1,1,0,1
80,1,0.1,auto,,42,0,0,0,1,1,0,1,1,1,1,1,0,1
80,1,0.1,auto,,42,1,0,0,1,1,0,1,1,1,1,0,1,1
80,1,0.1,auto,,42,1,1,0,1,1,1,0,0,1,1,1,0,1
80,1,0.1,auto,,42,1,0,0,1,0,1,0,0,1,1,1,1,0
80,1,0.1,auto,,42,0,1,1,1,1,1,1,0,1,0,1,0,0
80,1,0.1,auto,,42,1,1,1,1,1,1,1,1,1,1,1,1,1
80,1,0.1,auto,,42,1,0,1,1,1,0,1,0,0,1,1,0,1
80,1,0.1,auto,,42,1,1,1,0,0,0,0,1,1,1,0,1,1
80,1,0.1,auto,,42,0,1,1,1,0,1,0,0,1,0,1,0,0
80,1,0.1,auto,,42,1,1,0,0,0,1,0,1,1,1,0,1,1
80,1,0.1,auto,,42,1,1,0,1,1,0,0,0,0,1,1,1,0
80,1,0.1,auto,,42,1,1,1,0,1,1,0,0,1,1,1,1,0
80,1,0.1,auto,,42,0,1,0,0,1,1,1,0,1,0,1,1,1
80,1,0.1,auto,,42,1,1,0,0,1,0,0,0,1,1,1,1,1
80,1,0.1,auto,,42,1,1,0,0,0,1,1,1,1,0,0,1,1
500,2,0.9,auto,,42,1,0,0,0,0,0,1,1,1,1,1,1,1
500,2,0.9,auto,,42,1,1,1,1,1,1,1,0,0,0,0,1,1
500,2,0.9,auto,,42,1,0,1,1,1,1,0,1,0,1,0,1,1
500,2,0.9,auto,,42,1,1,0,0,1,0,1,1,0,1,0,0,1
500,2,0.9,auto,,42,0,1,1,0,0,1,1,1,1,0,1,1,0
500,2,0.9,auto,,42,0,1,1,0,0,1,0,1,1,1,1,0,1
500,2,0.9,auto,,42,0,0,0,1,1,0,1,1,1,1,1,0,1
500,2,0.9,auto,,42,1,0,0,1,1,0,1,1,1,1,0,1,1
500,2,0.9,auto,,42,1,1,0,1,1,1,0,0,1,1,1,0,1
500,2,0.9,auto,,42,1,0,0,1,0,1,0,0,1,1,1,1,0
500,2,0.9,auto,,42,0,1,1,1,1,1,1,0,1,0,1,0,0
500,2,0.9,auto,,42,1,1,1,1,1,1,1,1,1,1,1,1,1
500,2,0.9,auto,,42,1,0,1,1,1,0,1,0,0,1,1,0,1
500,2,0.9,auto,,42,1,1,1,0,0,0,0,1,1,1,0,1,1
500,2,0.9,auto,,42,0,1,1,1,0,1,0,0,1,0,1,0,0
500,2,0.9,auto,,42,1,1,0,0,0,1,0,1,1,1,0,1,1
500,2,0.9,auto,,42,1,1,0,1,1,0,0,0,0,1,1,1,0
500,2,0.9,auto,,42,1,1,1,0,1,1,0,0,1,1,1,1,0
500,2,0.9,auto,,42,0,1,0,0,1,1,1,0,1,0,1,1,1
500,2,0.9,auto,,42,1,1,0,0,1,0,0,0,1,1,1,1,1
500,2,0.9,auto,,42,1,1,0,0,0,1,1,1,1,0,0,1,1
500,4,0.1,auto,,42,1,0,0,0,0,0,1,1,1,1,1,1,1
500,4,0.1,auto,,42,1,1,1,1,1,1,1,0,0,0,0,1,1
500,4,0.1,auto,,42,1,0,1,1,1,1,0,1,0,1,0,1,1
500,4,0.1,auto,,42,1,1,0,0,1,0,1,1,0,1,0,0,1
500,4,0.1,auto,,42,0,1,1,0,0,1,1,1,1,0,1,1,0
500,4,0.1,auto,,42,0,1,1,0,0,1,0,1,1,1,1,0,1
500,4,0.1,auto,,42,0,0,0,1,1,0,1,1,1,1,1,0,1
500,4,0.1,auto,,42,1,0,0,1,1,0,1,1,1,1,0,1,1
500,4,0.1,auto,,42,1,1,0,1,1,1,0,0,1,1,1,0,1
500,4,0.1,auto,,42,1,0,0,1,0,1,0,0,1,1,1,1,0
500,4,0.1,auto,,42,0,1,1,1,1,1,1,0,1,0,1,0,0
500,4,0.1,auto,,42,1,1,1,1,1,1,1,1,1,1,1,1,1
500,4,0.1,auto,,42,1,0,1,1,1,0,1,0,0,1,1,0,1
500,4,0.1,auto,,42,1,1,1,0,0,0,0,1,1,1,0,1,1
500,4,0.1,auto,,42,0,1,1,1,0,1,0,0,1,0,1,0,0
500,4,0.1,auto,,42,1,1,0,0,0,1,0,1,1,1,0,1,1
500,4,0.1,auto,,42,1,1,0,1,1,0,0,0,0,1,1,1,0
500,4,0.1,auto,,42,1,1,1,0,1,1,0,0,1,1,1,1,0
500,4,0.1,auto,,42,0,1,0,0,1,1,1,0,1,0,1,1,1
500,4,0.1,auto,,42,1,1,0,0,1,0,0,0,1,1,1,1,1
500,4,0.1,auto,,42,1,1,0,0,0,1,1,1,1,0,0,1,1
600,4,0.3,auto,,42,1,0,0,0,0,0,1,1,1,1,1,1,1
600,4,0.3,auto,,42,1,1,1,1,1,1,1,0,0,0,0,1,1
600,4,0.3,auto,,42,1,0,1,1,1,1,0,1,0,1,0,1,1
600,4,0.3,auto,,42,1,1,0,0,1,0,1,1,0,1,0,0,1
600,4,0.3,auto,,42,0,1,1,0,0,1,1,1,1,0,1,1,0
600,4,0.3,auto,,42,0,1,1,0,0,1,0,1,1,1,1,0,1
600,4,0.3,auto,,42,0,0,0,1,1,0,1,1,1,1,1,0,1
600,4,0.3,auto,,42,1,0,0,1,1,0,1,1,1,1,0,1,1
600,4,0.3,auto,,42,1,1,0,1,1,1,0,0,1,1,1,0,1
600,4,0.3,auto,,42,1,0,0,1,0,1,0,0,1,1,1,1,0
600,4,0.3,auto,,42,0,1,1,1,1,1,1,0,1,0,1,0,0
600,4,0.3,auto,,42,1,1,1,1,1,1,1,1,1,1,1,1,1
600,4,0.3,auto,,42,1,0,1,1,1,0,1,0,0,1,1,0,1
600,4,0.3,auto,,42,1,1,1,0,0,0,0,1,1,1,0,1,1
600,4,0.3,auto,,42,0,1,1,1,0,1,0,0,1,0,1,0,0
600,4,0.3,auto,,42,1,1,0,0,0,1,0,1,1,1,0,1,1
600,4,0.3,auto,,42,1,1,0,1,1,0,0,0,0,1,1,1,0
600,4,0.3,auto,,42,1,1,1,0,1,1,0,0,1,1,1,1,0
600,4,0.3,auto,,42,0,1,0,0,1,1,1,0,1,0,1,1,1
600,4,0.3,auto,,42,1,1,0,0,1,0,0,0,1,1,1,1,1
600,4,0.3,auto,,42,1,1,0,0,0,1,1,1,1,0,0,1,1
20,1,0.5,auto,,42,1,0,0,0,0,0,1,1,1,1,1,1,1
20,1,0.5,auto,,42,1,1,1,1,1,1,1,0,0,0,0,1,1
20,1,0.5,auto,,42,1,0,1,1,1,1,0,1,0,1,0,1,1
20,1,0.5,auto,,42,1,1,0,0,1,0,1,1,0,1,0,0,1
20,1,0.5,auto,,42,0,1,1,0,0,1,1,1,1,0,1,1,0
20,1,0.5,auto,,42,0,1,1,0,0,1,0,1,1,1,1,0,1
20,1,0.5,auto,,42,0,0,0,1,1,0,1,1,1,1,1,0,1
20,1,0.5,auto,,42,1,0,0,1,1,0,1,1,1,1,0,1,1
20,1,0.5,auto,,42,1,1,0,1,1,1,0,0,1,1,1,0,1
20,1,0.5,auto,,42,1,0,0,1,0,1,0,0,1,1,1,1,0
20,1,0.5,auto,,42,0,1,1,1,1,1,1,0,1,0,1,0,0
20,1,0.5,auto,,42,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1,0.5,auto,,42,1,0,1,1,1,0,1,0,0,1,1,0,1
20,1,0.5,auto,,42,1,1,1,0,0,0,0,1,1,1,0,1,1
20,1,0.5,auto,,42,0,1,1,1,0,1,0,0,1,0,1,0,0
20,1,0.5,auto,,42,1,1,0,0,0,1,0,1,1,1,0,1,1
20,1,0.5,auto,,42,1,1,0,1,1,0,0,0,0,1,1,1,0
20,1,0.5,auto,,42,1,1,1,0,1,1,0,0,1,1,1,1,0
20,1,0.5,auto,,42,0,1,0,0,1,1,1,0,1,0,1,1,1
20,1,0.5,auto,,42,1,1,0,0,1,0,0,0,1,1,1,1,1
20,1,0.5,auto,,42,1,1,0,0,0,1,1,1,1,0,0,1,1
600,1,0.9,auto,,42,1,0,0,0,0,0,1,1,1,1,1,1,1
600,1,0.9,auto,,42,1,1,1,1,1,1,1,0,0,0,0,1,1
600,1,0.9,auto,,42,1,0,1,1,1,1,0,1,0,1,0,1,1
600,1,0.9,auto,,42,1,1,0,0,1,0,1,1,0,1,0,0,1
600,1,0.9,auto,,42,0,1,1,0,0,1,1,1,1,0,1,1,0
600,1,0.9,auto,,42,0,1,1,0,0,1,0,1,1,1,1,0,1
600,1,0.9,auto,,42,0,0,0,1,1,0,1,1,1,1,1,0,1
600,1,0.9,auto,,42,1,0,0,1,1,0,1,1,1,1,0,1,1
600,1,0.9,auto,,42,1,1,0,1,1,1,0,0,1,1,1,0,1
600,1,0.9,auto,,42,1,0,0,1,0,1,0,0,1,1,1,1,0
600,1,0.9,auto,,42,0,1,1,1,1,1,1,0,1,0,1,0,0
600,1,0.9,auto,,42,1,1,1,1,1,1,1,1,1,1,1,1,1
600,1,0.9,auto,,42,1,0,1,1,1,0,1,0,0,1,1,0,1
600,1,0.9,auto,,42,1,1,1,0,0,0,0,1,1,1,0,1,1
600,1,0.9,auto,,42,0,1,1,1,0,1,0,0,1,0,1,0,0
600,1,0.9,auto,,42,1,1,0,0,0,1,0,1,1,1,0,1,1
600,1,0.9,auto,,42,1,1,0,1,1,0,0,0,0,1,1,1,0
600,1,0.9,auto,,42,1,1,1,0,1,1,0,0,1,1,1,1,0
600,1,0.9,auto,,42,0,1,0,0,1,1,1,0,1,0,1,1,1
600,1,0.9,auto,,42,1,1,0,0,1,0,0,0,1,1,1,1,1
600,1,0.9,auto,,42,1,1,0,0,0,1,1,1,1,0,0,1,1
50,2,0.9,auto,,42,1,0,0,0,0,0,1,1,1,1,1,1,1
50,2,0.9,auto,,42,1,1,1,1,1,1,1,0,0,0,0,1,1
